,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
457,0.01881123686281055,0.02769423187361959,True,True
458,5.639189766311026e-05,0.00012157339090932597,True,True
460,6.389601274564322e-06,1.5779406487255787e-05,True,True
461,1.3882191196231402e-13,9.205944449708155e-13,True,True
462,1.2913082513953074e-08,4.5636968172778095e-08,True,True
463,1.4147558424472275e-17,1.5963361971440795e-16,True,True
464,7.183556475700547e-13,4.319385246005115e-12,True,True
465,3.6163741449766095e-22,7.627944243525144e-21,True,True
466,2.2721457347954605e-08,7.789505371818135e-08,True,True
467,1.3143845782651991e-05,3.101911692558923e-05,True,True
468,0.0063078886440425695,0.010021960482464398,True,True
469,3.627333820539815e-14,2.5882772304760553e-13,True,True
470,3.7912959117665726e-14,2.6985841316756304e-13,True,True
471,0.011101236323348938,0.016959131365922614,True,True
472,2.415150825184666e-10,1.0651450218295917e-09,True,True
473,0.0008762165466698584,0.001587315524719149,True,True
474,0.0006871140874782275,0.0012636959290095158,True,True
475,9.74082821188967e-12,5.0623588255232865e-11,True,True
477,0.0001774798805145135,0.0003561762239647096,True,True
479,0.0009866295194882531,0.0017741256322639297,True,True
480,0.002601846714254607,0.0043906322153705515,True,True
481,1.2098312277421107e-05,2.868885993032939e-05,True,True
482,0.00026065634449297257,0.0005105258901492179,True,True
483,2.1038602859663406e-07,6.345004615933753e-07,True,True
487,0.0012543997369040953,0.0022213998416215526,True,True
488,1.391326302610145e-26,5.931169196835335e-25,True,True
