,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
10486,1.5222752963376419e-27,7.757317328682231e-26,True,True
10487,0.943871342115518,0.9524169062526621,False,False
10488,1.0960013385087989e-05,2.6133089196327813e-05,True,True
10489,0.40969141858772473,0.4610396232234346,False,False
10490,5.4248324240306074e-08,1.7671880091481943e-07,True,True
10491,7.25422620012481e-26,2.671999096101409e-24,True,True
10492,0.10835241600252193,0.13951908068303268,False,False
10493,0.0012404366995536805,0.0021987014144048667,True,True
10494,0.3348501665004,0.38527618398124486,False,False
10495,0.0005365014467496055,0.001002277764961548,True,True
10496,1.95823668153018e-14,1.4537403813250476e-13,True,True
10497,0.0023299681564033976,0.003959685184640305,True,True
10498,2.1549560209606754e-07,6.487777145712036e-07,True,True
10499,0.10222058860403652,0.13244286118163437,False,False
10500,1.7837543978057073e-07,5.434630903367477e-07,True,True
10501,2.656650412331304e-25,8.911385606412287e-24,True,True
10502,5.387703813866791e-10,2.2823095484195395e-09,True,True
10503,3.0582362682096195e-05,6.847832992005337e-05,True,True
10504,0.2275467407118544,0.272598470582336,False,False
10505,0.11927595527198727,0.1522568630254622,False,False
10506,0.02851759504489786,0.04074784569070393,True,True
10507,0.00857463844857915,0.01335679704230882,True,True
10508,0.4378671205468099,0.48879835266210925,False,False
10509,0.00654797885850189,0.010376693402497032,True,True
10510,0.3476330562046517,0.39828631422836963,False,False
10511,3.6995721308001745e-05,8.173693382730915e-05,True,True
10512,1.3611204674596894e-21,2.638984969176895e-20,True,True
10513,9.7586026275196e-16,8.544341631545924e-15,True,True
10514,0.0002142923176237955,0.0004247733547849761,True,True
10515,0.0037484628021655945,0.0061659393360703335,True,True
10516,5.447686159943512e-08,1.7739637778138392e-07,True,True
10517,0.44837230797675953,0.4988170801325683,False,False
10518,0.053270302296854165,0.07270062191326875,False,False
10519,2.102555407298159e-05,4.818472361511767e-05,True,True
10520,0.006737430288888054,0.010648591787789674,True,True
10521,7.792469169067823e-11,3.647112026433125e-10,True,True
10522,0.011222115410560401,0.017133189899905518,True,True
10523,0.060867092679288685,0.08219174752088737,False,False
10524,0.01803392321910345,0.026611089400359795,True,True
10525,2.2631635970005973e-12,1.2710062138551794e-11,True,True
10526,0.0017287027950293968,0.0029944190097395797,True,True
10527,0.000332325462867868,0.0006400136422566801,True,True
10528,5.2056794688217246e-27,2.437076228289845e-25,True,True
10529,0.000644716103321049,0.0011909185933352356,True,True
10530,0.21771280015981725,0.2618890483086723,False,False
10531,1.3513348024420453e-11,6.920933504947031e-11,True,True
10532,8.348267801069301e-05,0.00017538164448920366,True,True
10533,1.3109302873298157e-06,3.5585041976151113e-06,True,True
10534,4.709239504756354e-08,1.548089675445595e-07,True,True
10535,0.23850733024486095,0.2844665927906637,False,False
10536,0.042311852970703764,0.05869096355138168,True,False
10537,6.54683171283448e-09,2.41041171865336e-08,True,True
10538,3.0623548713705264e-07,9.043107761183905e-07,True,True
10539,4.401691612511578e-09,1.658434517036805e-08,True,True
10540,3.74327131688658e-09,1.4218340369220684e-08,True,True
10541,0.1430762495601911,0.17946864733897047,False,False
10542,0.2840295204320548,0.3324261494216631,False,False
10543,0.0001293334558148188,0.0002647825846410281,True,True
